SeqId,BubbleSortNComp,BubbleSortTns,HeapSortNComp,HeapSortTns,
seq_50_0,1225,3740778,296,465770,
seq_50_1,1225,357017,298,89278,
seq_50_2,1225,352787,297,74335,
seq_50_3,1225,396943,296,44739,
seq_50_4,1225,409899,291,101850,
seq_50_5,1225,725062,294,67883,
seq_50_6,1225,656080,304,65281,
seq_50_7,1225,334180,294,36409,
seq_50_8,1225,260025,296,37032,
seq_50_9,1225,280938,292,36118,
seq_50_10,1225,263099,293,35622,
seq_50_11,1225,243631,299,35368,
seq_50_12,1225,359689,298,37845,
seq_50_13,1225,336282,284,42359,
seq_50_14,1225,982780,300,62904,
seq_50_15,1225,457395,294,60537,
seq_50_16,1225,334352,286,75649,
seq_50_17,1225,240178,297,36364,
seq_50_18,1225,233762,303,34693,
seq_50_19,1225,193722,304,35078,
seq_50_20,1225,221210,287,109158,
seq_50_21,1225,343885,289,61280,
seq_50_22,1225,461320,295,42903,
seq_50_23,1225,266808,295,37221,
seq_50_24,1225,259352,286,34628,
seq_50_25,1225,335997,299,66003,
seq_50_26,1225,2325625,281,71003,
seq_50_27,1225,460521,292,74137,
seq_50_28,1225,325511,284,37117,
seq_50_29,1225,257920,282,38628,
seq_50_30,1225,283934,289,41552,
seq_50_31,1225,266489,296,43627,
seq_50_32,1225,303289,296,42461,
seq_50_33,1225,302291,296,36180,
seq_50_34,1225,273217,301,35938,
seq_50_35,1225,247228,304,37973,
seq_50_36,1225,297970,287,35454,
seq_50_37,1225,272962,293,35989,
seq_50_38,1225,239975,293,55749,
seq_50_39,1225,398578,289,734485,
seq_50_40,1225,440718,293,91224,
seq_50_41,1225,350411,296,89247,
seq_50_42,1225,233625,298,36434,
seq_50_43,1225,254372,310,28884,
seq_50_44,1225,252763,284,16224,
seq_50_45,1225,248520,299,16198,
seq_50_46,1225,306648,291,15972,
seq_50_47,1225,355842,290,25418,
seq_50_48,1225,311739,296,17279,
seq_50_49,1225,212813,290,16276,
seq_50_50,1225,129135,286,16100,
seq_50_51,1225,87648,295,16295,
seq_50_52,1225,87164,286,25505,
seq_50_53,1225,95287,293,16763,
seq_50_54,1225,371838,301,24591,
seq_50_55,1225,103937,292,28034,
seq_50_56,1225,125079,292,29677,
seq_50_57,1225,86638,293,30305,
seq_50_58,1225,399261,303,19981,
seq_50_59,1225,104896,290,27192,
seq_50_60,1225,251602,288,17051,
seq_50_61,1225,88023,291,18050,
seq_50_62,1225,108713,293,16871,
seq_50_63,1225,55275,306,17771,
seq_50_64,1225,54893,292,21912,
seq_50_65,1225,48722,310,28124,
seq_50_66,1225,97432,296,17618,
seq_50_67,1225,313888,296,16960,
seq_50_68,1225,91787,299,16031,
seq_50_69,1225,263534,292,33006,
seq_50_70,1225,153023,307,269444,
seq_50_71,1225,114494,284,31227,
seq_50_72,1225,69020,291,29335,
seq_50_73,1225,517865,295,26181,
seq_50_74,1225,90713,287,25440,
seq_50_75,1225,96419,289,16182,
seq_50_76,1225,116087,286,16195,
seq_50_77,1225,105482,290,16970,
seq_50_78,1225,54066,291,17154,
seq_50_79,1225,154768,288,15963,
seq_50_80,1225,87137,306,15744,
seq_50_81,1225,88113,297,15558,
seq_50_82,1225,84848,295,24605,
seq_50_83,1225,139755,310,33479,
seq_50_84,1225,104437,299,33599,
seq_50_85,1225,111417,292,17731,
seq_50_86,1225,823541,288,18095,
seq_50_87,1225,423396,288,28202,
seq_50_88,1225,93812,284,17866,
seq_50_89,1225,211242,288,30298,
seq_50_90,1225,111811,287,29590,
seq_50_91,1225,105506,304,26738,
seq_50_92,1225,196895,291,25906,
seq_50_93,1225,243541,299,37853,
seq_50_94,1225,90817,294,16814,
seq_50_95,1225,91012,295,15989,
seq_50_96,1225,89957,301,19301,
seq_50_97,1225,179182,288,28332,
seq_50_98,1225,98135,287,20543,
seq_50_99,1225,521482,293,28405,
seq_100_0,4950,361311,730,47565,
seq_100_1,4950,491671,738,41339,
seq_100_2,4950,260369,724,65041,
seq_100_3,4950,366560,738,50915,
seq_100_4,4950,246633,731,32065,
seq_100_5,4950,404785,733,89591,
seq_100_6,4950,429066,728,92750,
seq_100_7,4950,604748,733,16919,
seq_100_8,4950,202567,739,15814,
seq_100_9,4950,544327,737,20240,
seq_100_10,4950,337093,744,20352,
seq_100_11,4950,52982,737,16895,
seq_100_12,4950,68429,732,25645,
seq_100_13,4950,75434,720,43351,
